x,y,z
764726.5406,2633877.573,0
764734.8395,2633874.137,0
764743.753,2633870.158,0
764753.083,2633865.835,0
764762.7325,2633861.27,0
764772.6425,2633856.522,0
764782.7731,2633851.632,0
764793.0956,2633846.631,0
764803.5889,2633841.539,0
764814.2374,2633836.376,0
764825.0293,2633831.155,0
764835.9559,2633825.887,0
764847.011,2633820.582,0
764858.1899,2633815.249,0
764869.4897,2633809.894,0
764880.9082,2633804.523,0
764892.4444,2633799.143,0
764904.0976,2633793.758,0
764915.8675,2633788.374,0
764927.7546,2633782.993,0
